Doug Jones, Alabama, Democrat, @SenDougJones
Richard Shelby, Alabama, Republican, @SenShelby
Jon Tester, Montana, Democrat, @SenatorTester 
Steve Daines, Montana, Republican, @SteveDaines
Dan Sullivan, Alaska, Republican, @SenDanSullivan
Lis Murkowski, Alaska, Republican, @lisamurkowski
Deb Fischer, Nebraska, Republican, @SenatorFischer
Ben Sasse, Nebraska, Republican, @SenSasse
Krysten Sinema, Arizona, Democrat, @SenatorSinema
Martha McSally, Arizona, Republican, @SenMcSallyAZ
Jacky Rosen, Nevada, Democrat, @SenJackyRosen
Catherine Cortez Masto, Nevada, Democrat, @SenCortezMasto
Tom Cotton, Arkansas, Republican, @SenTomCotton
John Boozman, Arkansas, Republican, @JohnBoozman
Jeanne Shaheen, New Hampshire, Democrat, @SenatorShaheen
Maggie Hassan, New Hampshire, Democrat, @SenatorHassan
Dianne Feinstein, California, Democrat, @SenFeinstein
Kamala Harris, California, Democrat, @SenKamalaHarris
Bob Menendez, New Jersey, Democrat, @SenatorMenendez
Cory Booker, New Jersey, Democrat, @SenBooker
Cory Gardner, Colorado, Republican, @SenCoryGardner
Michael Bennet, Colorado, Democrat, @SenatorBennet
Martin Heinrich, New Mexico, Democrat, @MartinHeinrich
Tom Udall, New Mexico, Democrat, @SenatorTomUdall
Chris Murphy, Connecticut, Democrat, @SenMurphyOffice
Richard Blumenthal, Connecticut, Democrat, @SenBlumenthal
Kirsten Gillibrand, New York, Democrat, @gillibrandny
Chuck Schumer, New York, Democrat, @SenSchumer
Tom Carper, Delaware, Democrat, @SenatorCarper
Chris Coons, Delaware, Democrat, @ChrisCoons
Rick Scott, Florida, Republican, @SenRickScott
Marco Rubio, Florida, Republican, @SenRubioPress
Thom Tillis, North Carolina, Republican, @SenThomTillis
Richard Burr, North Carolina, Republican, @SenatorBurr
David Perdue, Georgia, Republican, @sendavidperdue
Kelly Loeffler, Georgia, Republican, @KLoeffler
Kevin Cramer, North Dakota, Republican, @SenKevinCramer
John Hoeven, North Dakota, Republican, @SenJohnHoeven
Sherrod Brown, Ohio, Democrat, @SenSherrodBrown
Rob Portman, Ohio, Republican, @senrobportman
Mazie Hirono, Hawaii, Democrat, @maziehirono
Brian Schatz, Hawaii, Democrat, @SenBrianSchatz
Jim Inhofe, Oklahoma, Republican, @JimInhofe
James Lankford, Oklahoma, Republican, @SenatorLankford
Jim Risch, Idaho, Republican, @SenatorRisch
Mike Crapo, Idaho, Republican, @MikeCrapo
Jeff Merkley, Oregon, Democrat, @SenJeffMerkley
Ron Wyden, Oregon, Democrat, @RonWyden
Dick Durbin, Illinois, Democrat, @SenatorDurbin 
Tammy Duckworth, Illinois, Democrat, @SenDuckworth
Bob Casey Jr., Pennsylvania, Democrat, @SenBobCasey
Pat Toomey, Pennsylvania, Republican, @SenToomey
Mike Braun, Indiana, Republican, @SenatorBraun
Todd Young, Indiana, Republican, @SenToddYoung
Sheldon Whitehouse, Rhode Island, Democrat, @SenWhitehouse
Jack Reed, Rhode Island, Democrat, @SenJackReed
Joni Ernst, Iowa, Republican, @SenJoniErnst
Chuck Grassley, Iowa, Republican, @ChuckGrassley
Lindsey Graham, South Carolina, Republican, @LindseyGrahamSC
Tim Scott, South Carolina, Republican, @SenatorTimScott
Pat Roberts, Kansas, Republican, @SenPatRoberts
Jerry Moran, Kansas, Republican, @JerryMoran
Mitch McConnell, Kentucky, Republican, @SenateMajLdr
Rand Paul, Kentucky, Republican, @RandPaul
Mike Rounds, South Dakota, Republican, @SenatorRounds
John Thune, South Dakota, Republican, @SenJohnThune
Bill Cassidy, Louisiana, Republican, @SenBillCassidy
John Kennedy, Louisiana Republican, @SenJohnKennedy
Marsha Blackburn, Tennessee, Republican, @MarshaBlackburn
Lamar Alexander, Tennessee, Republican, @SenAlexander
Angus King, Maine, Independent, @SenAngusKing
Susan Collins, Maine, Republican, @SenatorCollins
Ted Cruz, Texas, Republican, @SenTedCruz
John Cornyn, Texas, Republican, @JohnCornyn
Ben Cardin, Maryland, Democrat, @SenatorCardin
Chris Van Hollen, Maryland, Democrat, @ChrisVanHollen
Mitt Romney, Utah, Republican, @SenatorRomney
Mike Lee, Utah, Republican, @SenMikeLee
Elizabeth Warren, Massachusetts, Democrat, @SenWarren
Ed Markey, Massachusetts, Democrat, @SenMarkey
Bernie Sanders, Vermont, Independent, @SenSanders
Patrick Leahy, Vermont, Democrat, @SenatorLeahy
Debbie Stabenow, Michigan, Democrat, @SenStabenow
Gary Peters, Michigan, Democrat, @SenGaryPeters
Tim Kaine, Virginia, Democrat, @timkaine
Mark Warner, Virginia, Democrat, @MarkWarner
Amy Klobuchar, Minnesota, Democrat, @SenAmyKlobuchar
Tina Smith, Minnesota, Democrat, @SenTinaSmith
Roger Wicker, Mississippi, Republican, @SenatorWicker
Cindy Hyde-Smith, Mississippi, Republican, @SenHydeSmith
Maria Cantwell, Washington, Democrat, @SenatorCantwell
Patty Murray, Washington, Democrat, @PattyMurray
Josh Hawley, Missouri, Republican, @SenHawleyPress
Roy Blunt, Missouri, Republican, @RoyBlunt
Joe Manchin, West Virginia, Democrat, @Sen_JoeManchin
Shelley Moore Capito, Republican, @SenCapito
Tammy Baldwin, Wisconsin, Democrat, @SenatorBaldwin
Ron Johnson, Wisconsin, Republican, @SenRonJohnson
John Barrasso, Wyoming, Republican, @SenJohnBarrasso
Mike Enzi, Wyoming, Republican, @SenatorEnzi
